t0; p1, -0.5, 0, 0; p2, 0.5, 0, 0; p3, 0, 0, 0
t0.256; p1, -0.460779, 0.176254, 0; p2, 0.460779, -0.176254, 0; p3, 0, 0, 0
t0.257; p1, -0.460475, 0.176904, 0; p2, 0.460475, -0.176904, 0; p3, 0, 0, 0
t0.258; p1, -0.46017, 0.177555, 0; p2, 0.46017, -0.177555, 0; p3, 0, 0, 0
t0.259; p1, -0.459863, 0.178205, 0; p2, 0.459863, -0.178205, 0; p3, 0, 0, 0
t0.26; p1, -0.459555, 0.178854, 0; p2, 0.459555, -0.178854, 0; p3, 0, 0, 0
t0.261; p1, -0.459246, 0.179503, 0; p2, 0.459246, -0.179503, 0; p3, 0, 0, 0
t0.262; p1, -0.458936, 0.180152, 0; p2, 0.458936, -0.180152, 0; p3, 0, 0, 0
t0.263; p1, -0.458625, 0.1808, 0; p2, 0.458625, -0.1808, 0; p3, 0, 0, 0
t0.264; p1, -0.458313, 0.181448, 0; p2, 0.458313, -0.181448, 0; p3, 0, 0, 0
t0.265; p1, -0.457999, 0.182095, 0; p2, 0.457999, -0.182095, 0; p3, 0, 0, 0
t0.266; p1, -0.457684, 0.182742, 0; p2, 0.457684, -0.182742, 0; p3, 0, 0, 0
t0.267; p1, -0.457369, 0.183389, 0; p2, 0.457369, -0.183389, 0; p3, 0, 0, 0
t0.268; p1, -0.457052, 0.184035, 0; p2, 0.457052, -0.184035, 0; p3, 0, 0, 0
t0.269; p1, -0.456734, 0.18468, 0; p2, 0.456734, -0.18468, 0; p3, 0, 0, 0
t0.27; p1, -0.456414, 0.185325, 0; p2, 0.456414, -0.185325, 0; p3, 0, 0, 0
t0.271; p1, -0.456094, 0.18597, 0; p2, 0.456094, -0.18597, 0; p3, 0, 0, 0
t0.272; p1, -0.455772, 0.186614, 0; p2, 0.455772, -0.186614, 0; p3, 0, 0, 0
t0.273; p1, -0.45545, 0.187257, 0; p2, 0.45545, -0.187257, 0; p3, 0, 0, 0
t0.274; p1, -0.455126, 0.1879, 0; p2, 0.455126, -0.1879, 0; p3, 0, 0, 0
t0.275; p1, -0.454801, 0.188543, 0; p2, 0.454801, -0.188543, 0; p3, 0, 0, 0
t0.276; p1, -0.454475, 0.189185, 0; p2, 0.454475, -0.189185, 0; p3, 0, 0, 0
t0.277; p1, -0.454147, 0.189827, 0; p2, 0.454147, -0.189827, 0; p3, 0, 0, 0
t0.278; p1, -0.453819, 0.190468, 0; p2, 0.453819, -0.190468, 0; p3, 0, 0, 0
t0.279; p1, -0.45349, 0.191109, 0; p2, 0.45349, -0.191109, 0; p3, 0, 0, 0
t0.28; p1, -0.453159, 0.191749, 0; p2, 0.453159, -0.191749, 0; p3, 0, 0, 0
t0.281; p1, -0.452827, 0.192389, 0; p2, 0.452827, -0.192389, 0; p3, 0, 0, 0
t0.282; p1, -0.452494, 0.193028, 0; p2, 0.452494, -0.193028, 0; p3, 0, 0, 0
t0.283; p1, -0.45216, 0.193667, 0; p2, 0.45216, -0.193667, 0; p3, 0, 0, 0
t0.284; p1, -0.451825, 0.194305, 0; p2, 0.451825, -0.194305, 0; p3, 0, 0, 0
t0.285; p1, -0.451488, 0.194943, 0; p2, 0.451488, -0.194943, 0; p3, 0, 0, 0
t0.286; p1, -0.451151, 0.195581, 0; p2, 0.451151, -0.195581, 0; p3, 0, 0, 0
t0.287; p1, -0.450812, 0.196217, 0; p2, 0.450812, -0.196217, 0; p3, 0, 0, 0
t0.288; p1, -0.450472, 0.196854, 0; p2, 0.450472, -0.196854, 0; p3, 0, 0, 0
t0.289; p1, -0.450131, 0.19749, 0; p2, 0.450131, -0.19749, 0; p3, 0, 0, 0
t0.29; p1, -0.449789, 0.198125, 0; p2, 0.449789, -0.198125, 0; p3, 0, 0, 0
t0.291; p1, -0.449446, 0.19876, 0; p2, 0.449446, -0.19876, 0; p3, 0, 0, 0
t0.292; p1, -0.449102, 0.199394, 0; p2, 0.449102, -0.199394, 0; p3, 0, 0, 0
t0.293; p1, -0.448756, 0.200028, 0; p2, 0.448756, -0.200028, 0; p3, 0, 0, 0
t0.294; p1, -0.44841, 0.200661, 0; p2, 0.44841, -0.200661, 0; p3, 0, 0, 0
t0.295; p1, -0.448062, 0.201294, 0; p2, 0.448062, -0.201294, 0; p3, 0, 0, 0
t0.296; p1, -0.447713, 0.201927, 0; p2, 0.447713, -0.201927, 0; p3, 0, 0, 0
t0.297; p1, -0.447363, 0.202558, 0; p2, 0.447363, -0.202558, 0; p3, 0, 0, 0
t0.298; p1, -0.447012, 0.20319, 0; p2, 0.447012, -0.20319, 0; p3, 0, 0, 0
t0.299; p1, -0.446659, 0.203821, 0; p2, 0.446659, -0.203821, 0; p3, 0, 0, 0
t0.3; p1, -0.446306, 0.204451, 0; p2, 0.446306, -0.204451, 0; p3, 0, 0, 0
t0.301; p1, -0.445951, 0.205081, 0; p2, 0.445951, -0.205081, 0; p3, 0, 0, 0
t0.302; p1, -0.445596, 0.20571, 0; p2, 0.445596, -0.20571, 0; p3, 0, 0, 0
t0.303; p1, -0.445239, 0.206338, 0; p2, 0.445239, -0.206338, 0; p3, 0, 0, 0
t0.304; p1, -0.444881, 0.206967, 0; p2, 0.444881, -0.206967, 0; p3, 0, 0, 0
t0.305; p1, -0.444522, 0.207594, 0; p2, 0.444522, -0.207594, 0; p3, 0, 0, 0
t0.306; p1, -0.444162, 0.208221, 0; p2, 0.444162, -0.208221, 0; p3, 0, 0, 0
t0.307; p1, -0.4438, 0.208848, 0; p2, 0.4438, -0.208848, 0; p3, 0, 0, 0
t0.308; p1, -0.443438, 0.209474, 0; p2, 0.443438, -0.209474, 0; p3, 0, 0, 0
t0.309; p1, -0.443074, 0.2101, 0; p2, 0.443074, -0.2101, 0; p3, 0, 0, 0
t0.31; p1, -0.44271, 0.210725, 0; p2, 0.44271, -0.210725, 0; p3, 0, 0, 0
t0.311; p1, -0.442344, 0.211349, 0; p2, 0.442344, -0.211349, 0; p3, 0, 0, 0
t0.312; p1, -0.441977, 0.211973, 0; p2, 0.441977, -0.211973, 0; p3, 0, 0, 0
t0.313; p1, -0.441609, 0.212597, 0; p2, 0.441609, -0.212597, 0; p3, 0, 0, 0
t0.314; p1, -0.441239, 0.213219, 0; p2, 0.441239, -0.213219, 0; p3, 0, 0, 0
t0.315; p1, -0.440869, 0.213842, 0; p2, 0.440869, -0.213842, 0; p3, 0, 0, 0
t0.316; p1, -0.440498, 0.214463, 0; p2, 0.440498, -0.214463, 0; p3, 0, 0, 0
t0.317; p1, -0.440125, 0.215085, 0; p2, 0.440125, -0.215085, 0; p3, 0, 0, 0
t0.318; p1, -0.439751, 0.215705, 0; p2, 0.439751, -0.215705, 0; p3, 0, 0, 0
t0.319; p1, -0.439376, 0.216325, 0; p2, 0.439376, -0.216325, 0; p3, 0, 0, 0
t0.32; p1, -0.439, 0.216945, 0; p2, 0.439, -0.216945, 0; p3, 0, 0, 0
t0.321; p1, -0.438623, 0.217564, 0; p2, 0.438623, -0.217564, 0; p3, 0, 0, 0
t0.322; p1, -0.438245, 0.218182, 0; p2, 0.438245, -0.218182, 0; p3, 0, 0, 0
t0.323; p1, -0.437866, 0.2188, 0; p2, 0.437866, -0.2188, 0; p3, 0, 0, 0
t0.324; p1, -0.437485, 0.219418, 0; p2, 0.437485, -0.219418, 0; p3, 0, 0, 0
t0.325; p1, -0.437104, 0.220034, 0; p2, 0.437104, -0.220034, 0; p3, 0, 0, 0
t0.326; p1, -0.436721, 0.220651, 0; p2, 0.436721, -0.220651, 0; p3, 0, 0, 0
t0.327; p1, -0.436337, 0.221266, 0; p2, 0.436337, -0.221266, 0; p3, 0, 0, 0
t0.328; p1, -0.435952, 0.221881, 0; p2, 0.435952, -0.221881, 0; p3, 0, 0, 0
t0.329; p1, -0.435566, 0.222496, 0; p2, 0.435566, -0.222496, 0; p3, 0, 0, 0
t0.33; p1, -0.435179, 0.22311, 0; p2, 0.435179, -0.22311, 0; p3, 0, 0, 0
t0.331; p1, -0.434791, 0.223723, 0; p2, 0.434791, -0.223723, 0; p3, 0, 0, 0
t0.332; p1, -0.434402, 0.224336, 0; p2, 0.434402, -0.224336, 0; p3, 0, 0, 0
t0.333; p1, -0.434011, 0.224948, 0; p2, 0.434011, -0.224948, 0; p3, 0, 0, 0
t0.334; p1, -0.433619, 0.22556, 0; p2, 0.433619, -0.22556, 0; p3, 0, 0, 0
t0.335; p1, -0.433227, 0.226171, 0; p2, 0.433227, -0.226171, 0; p3, 0, 0, 0
t0.336; p1, -0.432833, 0.226781, 0; p2, 0.432833, -0.226781, 0; p3, 0, 0, 0
t0.337; p1, -0.432438, 0.227391, 0; p2, 0.432438, -0.227391, 0; p3, 0, 0, 0
t0.338; p1, -0.432042, 0.228001, 0; p2, 0.432042, -0.228001, 0; p3, 0, 0, 0
t0.339; p1, -0.431645, 0.228609, 0; p2, 0.431645, -0.228609, 0; p3, 0, 0, 0
t0.34; p1, -0.431246, 0.229218, 0; p2, 0.431246, -0.229218, 0; p3, 0, 0, 0
t0.341; p1, -0.430847, 0.229825, 0; p2, 0.430847, -0.229825, 0; p3, 0, 0, 0
t0.342; p1, -0.430446, 0.230432, 0; p2, 0.430446, -0.230432, 0; p3, 0, 0, 0
t0.343; p1, -0.430045, 0.231038, 0; p2, 0.430045, -0.231038, 0; p3, 0, 0, 0
t0.344; p1, -0.429642, 0.231644, 0; p2, 0.429642, -0.231644, 0; p3, 0, 0, 0
t0.345; p1, -0.429238, 0.232249, 0; p2, 0.429238, -0.232249, 0; p3, 0, 0, 0
t0.346; p1, -0.428833, 0.232854, 0; p2, 0.428833, -0.232854, 0; p3, 0, 0, 0
t0.347; p1, -0.428427, 0.233458, 0; p2, 0.428427, -0.233458, 0; p3, 0, 0, 0
t0.348; p1, -0.42802, 0.234061, 0; p2, 0.42802, -0.234061, 0; p3, 0, 0, 0
t0.349; p1, -0.427612, 0.234664, 0; p2, 0.427612, -0.234664, 0; p3, 0, 0, 0
t0.35; p1, -0.427202, 0.235266, 0; p2, 0.427202, -0.235266, 0; p3, 0, 0, 0
t0.351; p1, -0.426792, 0.235868, 0; p2, 0.426792, -0.235868, 0; p3, 0, 0, 0
t0.352; p1, -0.42638, 0.236469, 0; p2, 0.42638, -0.236469, 0; p3, 0, 0, 0
t0.353; p1, -0.425968, 0.237069, 0; p2, 0.425968, -0.237069, 0; p3, 0, 0, 0
t0.354; p1, -0.425554, 0.237669, 0; p2, 0.425554, -0.237669, 0; p3, 0, 0, 0
t0.355; p1, -0.425139, 0.238268, 0; p2, 0.425139, -0.238268, 0; p3, 0, 0, 0
t0.356; p1, -0.424723, 0.238866, 0; p2, 0.424723, -0.238866, 0; p3, 0, 0, 0
t0.357; p1, -0.424306, 0.239464, 0; p2, 0.424306, -0.239464, 0; p3, 0, 0, 0
t0.358; p1, -0.423888, 0.240061, 0; p2, 0.423888, -0.240061, 0; p3, 0, 0, 0
t0.359; p1, -0.423468, 0.240658, 0; p2, 0.423468, -0.240658, 0; p3, 0, 0, 0
t0.36; p1, -0.423048, 0.241254, 0; p2, 0.423048, -0.241254, 0; p3, 0, 0, 0
t0.361; p1, -0.422626, 0.241849, 0; p2, 0.422626, -0.241849, 0; p3, 0, 0, 0
t0.362; p1, -0.422204, 0.242444, 0; p2, 0.422204, -0.242444, 0; p3, 0, 0, 0
t0.363; p1, -0.42178, 0.243038, 0; p2, 0.42178, -0.243038, 0; p3, 0, 0, 0
t0.364; p1, -0.421355, 0.243632, 0; p2, 0.421355, -0.243632, 0; p3, 0, 0, 0
t0.365; p1, -0.420929, 0.244224, 0; p2, 0.420929, -0.244224, 0; p3, 0, 0, 0
t0.366; p1, -0.420502, 0.244817, 0; p2, 0.420502, -0.244817, 0; p3, 0, 0, 0
t0.367; p1, -0.420074, 0.245408, 0; p2, 0.420074, -0.245408, 0; p3, 0, 0, 0
t0.368; p1, -0.419645, 0.245999, 0; p2, 0.419645, -0.245999, 0; p3, 0, 0, 0
t0.369; p1, -0.419215, 0.246589, 0; p2, 0.419215, -0.246589, 0; p3, 0, 0, 0
t0.37; p1, -0.418784, 0.247179, 0; p2, 0.418784, -0.247179, 0; p3, 0, 0, 0
t0.371; p1, -0.418351, 0.247768, 0; p2, 0.418351, -0.247768, 0; p3, 0, 0, 0
t0.372; p1, -0.417918, 0.248356, 0; p2, 0.417918, -0.248356, 0; p3, 0, 0, 0
t0.373; p1, -0.417483, 0.248944, 0; p2, 0.417483, -0.248944, 0; p3, 0, 0, 0
t0.374; p1, -0.417047, 0.249531, 0; p2, 0.417047, -0.249531, 0; p3, 0, 0, 0
t0.375; p1, -0.41661, 0.250117, 0; p2, 0.41661, -0.250117, 0; p3, 0, 0, 0
t0.376; p1, -0.416173, 0.250703, 0; p2, 0.416173, -0.250703, 0; p3, 0, 0, 0
t0.377; p1, -0.415734, 0.251288, 0; p2, 0.415734, -0.251288, 0; p3, 0, 0, 0
t0.378; p1, -0.415293, 0.251873, 0; p2, 0.415293, -0.251873, 0; p3, 0, 0, 0
t0.379; p1, -0.414852, 0.252457, 0; p2, 0.414852, -0.252457, 0; p3, 0, 0, 0
t0.38; p1, -0.41441, 0.25304, 0; p2, 0.41441, -0.25304, 0; p3, 0, 0, 0
t0.381; p1, -0.413967, 0.253622, 0; p2, 0.413967, -0.253622, 0; p3, 0, 0, 0
t0.382; p1, -0.413522, 0.254204, 0; p2, 0.413522, -0.254204, 0; p3, 0, 0, 0
t0.383; p1, -0.413077, 0.254785, 0; p2, 0.413077, -0.254785, 0; p3, 0, 0, 0
t0.384; p1, -0.41263, 0.255365, 0; p2, 0.41263, -0.255365, 0; p3, 0, 0, 0
t0.385; p1, -0.412183, 0.255945, 0; p2, 0.412183, -0.255945, 0; p3, 0, 0, 0
t0.386; p1, -0.411734, 0.256524, 0; p2, 0.411734, -0.256524, 0; p3, 0, 0, 0
t0.387; p1, -0.411284, 0.257103, 0; p2, 0.411284, -0.257103, 0; p3, 0, 0, 0
t0.388; p1, -0.410833, 0.25768, 0; p2, 0.410833, -0.25768, 0; p3, 0, 0, 0
t0.389; p1, -0.410381, 0.258258, 0; p2, 0.410381, -0.258258, 0; p3, 0, 0, 0
t0.39; p1, -0.409928, 0.258834, 0; p2, 0.409928, -0.258834, 0; p3, 0, 0, 0
t0.391; p1, -0.409474, 0.25941, 0; p2, 0.409474, -0.25941, 0; p3, 0, 0, 0
t0.392; p1, -0.409019, 0.259985, 0; p2, 0.409019, -0.259985, 0; p3, 0, 0, 0
t0.393; p1, -0.408562, 0.260559, 0; p2, 0.408562, -0.260559, 0; p3, 0, 0, 0
t0.394; p1, -0.408105, 0.261133, 0; p2, 0.408105, -0.261133, 0; p3, 0, 0, 0
t0.395; p1, -0.407646, 0.261706, 0; p2, 0.407646, -0.261706, 0; p3, 0, 0, 0
t0.396; p1, -0.407187, 0.262278, 0; p2, 0.407187, -0.262278, 0; p3, 0, 0, 0
t0.397; p1, -0.406726, 0.26285, 0; p2, 0.406726, -0.26285, 0; p3, 0, 0, 0
t0.398; p1, -0.406264, 0.26342, 0; p2, 0.406264, -0.26342, 0; p3, 0, 0, 0
t0.399; p1, -0.405802, 0.263991, 0; p2, 0.405802, -0.263991, 0; p3, 0, 0, 0
t0.4; p1, -0.405338, 0.26456, 0; p2, 0.405338, -0.26456, 0; p3, 0, 0, 0
t0.401; p1, -0.404873, 0.265129, 0; p2, 0.404873, -0.265129, 0; p3, 0, 0, 0
t0.402; p1, -0.404407, 0.265697, 0; p2, 0.404407, -0.265697, 0; p3, 0, 0, 0
t0.403; p1, -0.40394, 0.266264, 0; p2, 0.40394, -0.266264, 0; p3, 0, 0, 0
t0.404; p1, -0.403472, 0.266831, 0; p2, 0.403472, -0.266831, 0; p3, 0, 0, 0
t0.405; p1, -0.403003, 0.267397, 0; p2, 0.403003, -0.267397, 0; p3, 0, 0, 0
t0.406; p1, -0.402532, 0.267962, 0; p2, 0.402532, -0.267962, 0; p3, 0, 0, 0
t0.407; p1, -0.402061, 0.268527, 0; p2, 0.402061, -0.268527, 0; p3, 0, 0, 0
t0.408; p1, -0.401589, 0.269091, 0; p2, 0.401589, -0.269091, 0; p3, 0, 0, 0
t0.409; p1, -0.401115, 0.269654, 0; p2, 0.401115, -0.269654, 0; p3, 0, 0, 0
t0.41; p1, -0.400641, 0.270216, 0; p2, 0.400641, -0.270216, 0; p3, 0, 0, 0
t0.411; p1, -0.400165, 0.270778, 0; p2, 0.400165, -0.270778, 0; p3, 0, 0, 0
t0.412; p1, -0.399688, 0.271339, 0; p2, 0.399688, -0.271339, 0; p3, 0, 0, 0
t0.413; p1, -0.399211, 0.271899, 0; p2, 0.399211, -0.271899, 0; p3, 0, 0, 0
t0.414; p1, -0.398732, 0.272459, 0; p2, 0.398732, -0.272459, 0; p3, 0, 0, 0
t0.415; p1, -0.398252, 0.273018, 0; p2, 0.398252, -0.273018, 0; p3, 0, 0, 0
t0.416; p1, -0.397771, 0.273576, 0; p2, 0.397771, -0.273576, 0; p3, 0, 0, 0
t0.417; p1, -0.397289, 0.274133, 0; p2, 0.397289, -0.274133, 0; p3, 0, 0, 0
t0.418; p1, -0.396806, 0.27469, 0; p2, 0.396806, -0.27469, 0; p3, 0, 0, 0
t0.419; p1, -0.396322, 0.275245, 0; p2, 0.396322, -0.275245, 0; p3, 0, 0, 0
t0.42; p1, -0.395837, 0.275801, 0; p2, 0.395837, -0.275801, 0; p3, 0, 0, 0
t0.421; p1, -0.395351, 0.276355, 0; p2, 0.395351, -0.276355, 0; p3, 0, 0, 0
t0.422; p1, -0.394863, 0.276909, 0; p2, 0.394863, -0.276909, 0; p3, 0, 0, 0
t0.423; p1, -0.394375, 0.277462, 0; p2, 0.394375, -0.277462, 0; p3, 0, 0, 0
t0.424; p1, -0.393886, 0.278014, 0; p2, 0.393886, -0.278014, 0; p3, 0, 0, 0
t0.425; p1, -0.393395, 0.278565, 0; p2, 0.393395, -0.278565, 0; p3, 0, 0, 0
t0.426; p1, -0.392904, 0.279116, 0; p2, 0.392904, -0.279116, 0; p3, 0, 0, 0
t0.427; p1, -0.392411, 0.279666, 0; p2, 0.392411, -0.279666, 0; p3, 0, 0, 0
t0.428; p1, -0.391918, 0.280215, 0; p2, 0.391918, -0.280215, 0; p3, 0, 0, 0
t0.429; p1, -0.391423, 0.280764, 0; p2, 0.391423, -0.280764, 0; p3, 0, 0, 0
t0.43; p1, -0.390927, 0.281311, 0; p2, 0.390927, -0.281311, 0; p3, 0, 0, 0
t0.431; p1, -0.39043, 0.281858, 0; p2, 0.39043, -0.281858, 0; p3, 0, 0, 0
t0.432; p1, -0.389933, 0.282404, 0; p2, 0.389933, -0.282404, 0; p3, 0, 0, 0
t0.433; p1, -0.389434, 0.28295, 0; p2, 0.389434, -0.28295, 0; p3, 0, 0, 0
t0.434; p1, -0.388934, 0.283494, 0; p2, 0.388934, -0.283494, 0; p3, 0, 0, 0
t0.435; p1, -0.388433, 0.284038, 0; p2, 0.388433, -0.284038, 0; p3, 0, 0, 0
t0.436; p1, -0.387931, 0.284582, 0; p2, 0.387931, -0.284582, 0; p3, 0, 0, 0
t0.437; p1, -0.387428, 0.285124, 0; p2, 0.387428, -0.285124, 0; p3, 0, 0, 0
t0.438; p1, -0.386924, 0.285665, 0; p2, 0.386924, -0.285665, 0; p3, 0, 0, 0
t0.439; p1, -0.386419, 0.286206, 0; p2, 0.386419, -0.286206, 0; p3, 0, 0, 0
t0.44; p1, -0.385913, 0.286746, 0; p2, 0.385913, -0.286746, 0; p3, 0, 0, 0
t0.441; p1, -0.385405, 0.287286, 0; p2, 0.385405, -0.287286, 0; p3, 0, 0, 0
t0.442; p1, -0.384897, 0.287824, 0; p2, 0.384897, -0.287824, 0; p3, 0, 0, 0
t0.443; p1, -0.384388, 0.288362, 0; p2, 0.384388, -0.288362, 0; p3, 0, 0, 0
t0.444; p1, -0.383878, 0.288899, 0; p2, 0.383878, -0.288899, 0; p3, 0, 0, 0
t0.445; p1, -0.383366, 0.289435, 0; p2, 0.383366, -0.289435, 0; p3, 0, 0, 0
t0.446; p1, -0.382854, 0.28997, 0; p2, 0.382854, -0.28997, 0; p3, 0, 0, 0
t0.447; p1, -0.38234, 0.290505, 0; p2, 0.38234, -0.290505, 0; p3, 0, 0, 0
t0.448; p1, -0.381826, 0.291039, 0; p2, 0.381826, -0.291039, 0; p3, 0, 0, 0
t0.449; p1, -0.38131, 0.291572, 0; p2, 0.38131, -0.291572, 0; p3, 0, 0, 0
t0.45; p1, -0.380794, 0.292104, 0; p2, 0.380794, -0.292104, 0; p3, 0, 0, 0
t0.451; p1, -0.380276, 0.292636, 0; p2, 0.380276, -0.292636, 0; p3, 0, 0, 0
t0.452; p1, -0.379758, 0.293166, 0; p2, 0.379758, -0.293166, 0; p3, 0, 0, 0
t0.453; p1, -0.379238, 0.293696, 0; p2, 0.379238, -0.293696, 0; p3, 0, 0, 0
t0.454; p1, -0.378717, 0.294225, 0; p2, 0.378717, -0.294225, 0; p3, 0, 0, 0
t0.455; p1, -0.378196, 0.294753, 0; p2, 0.378196, -0.294753, 0; p3, 0, 0, 0
t0.456; p1, -0.377673, 0.295281, 0; p2, 0.377673, -0.295281, 0; p3, 0, 0, 0
t0.457; p1, -0.377149, 0.295807, 0; p2, 0.377149, -0.295807, 0; p3, 0, 0, 0
t0.458; p1, -0.376625, 0.296333, 0; p2, 0.376625, -0.296333, 0; p3, 0, 0, 0
t0.459; p1, -0.376099, 0.296858, 0; p2, 0.376099, -0.296858, 0; p3, 0, 0, 0
t0.46; p1, -0.375572, 0.297382, 0; p2, 0.375572, -0.297382, 0; p3, 0, 0, 0
t0.461; p1, -0.375044, 0.297906, 0; p2, 0.375044, -0.297906, 0; p3, 0, 0, 0
t0.462; p1, -0.374515, 0.298429, 0; p2, 0.374515, -0.298429, 0; p3, 0, 0, 0
t0.463; p1, -0.373985, 0.29895, 0; p2, 0.373985, -0.29895, 0; p3, 0, 0, 0
t0.464; p1, -0.373454, 0.299471, 0; p2, 0.373454, -0.299471, 0; p3, 0, 0, 0
t0.465; p1, -0.372922, 0.299991, 0; p2, 0.372922, -0.299991, 0; p3, 0, 0, 0
t0.466; p1, -0.372389, 0.300511, 0; p2, 0.372389, -0.300511, 0; p3, 0, 0, 0
t0.467; p1, -0.371855, 0.301029, 0; p2, 0.371855, -0.301029, 0; p3, 0, 0, 0
t0.468; p1, -0.37132, 0.301547, 0; p2, 0.37132, -0.301547, 0; p3, 0, 0, 0
t0.469; p1, -0.370784, 0.302064, 0; p2, 0.370784, -0.302064, 0; p3, 0, 0, 0
t0.47; p1, -0.370247, 0.30258, 0; p2, 0.370247, -0.30258, 0; p3, 0, 0, 0
t0.471; p1, -0.369709, 0.303095, 0; p2, 0.369709, -0.303095, 0; p3, 0, 0, 0
t0.472; p1, -0.36917, 0.303609, 0; p2, 0.36917, -0.303609, 0; p3, 0, 0, 0
t0.473; p1, -0.36863, 0.304123, 0; p2, 0.36863, -0.304123, 0; p3, 0, 0, 0
t0.474; p1, -0.368089, 0.304636, 0; p2, 0.368089, -0.304636, 0; p3, 0, 0, 0
t0.475; p1, -0.367547, 0.305147, 0; p2, 0.367547, -0.305147, 0; p3, 0, 0, 0
t0.476; p1, -0.367004, 0.305658, 0; p2, 0.367004, -0.305658, 0; p3, 0, 0, 0
t0.477; p1, -0.36646, 0.306169, 0; p2, 0.36646, -0.306169, 0; p3, 0, 0, 0
t0.478; p1, -0.365915, 0.306678, 0; p2, 0.365915, -0.306678, 0; p3, 0, 0, 0
t0.479; p1, -0.365368, 0.307186, 0; p2, 0.365368, -0.307186, 0; p3, 0, 0, 0
t0.48; p1, -0.364821, 0.307694, 0; p2, 0.364821, -0.307694, 0; p3, 0, 0, 0
t0.481; p1, -0.364273, 0.308201, 0; p2, 0.364273, -0.308201, 0; p3, 0, 0, 0
t0.482; p1, -0.363724, 0.308707, 0; p2, 0.363724, -0.308707, 0; p3, 0, 0, 0
t0.483; p1, -0.363174, 0.309212, 0; p2, 0.363174, -0.309212, 0; p3, 0, 0, 0
t0.484; p1, -0.362623, 0.309716, 0; p2, 0.362623, -0.309716, 0; p3, 0, 0, 0
t0.485; p1, -0.36207, 0.310219, 0; p2, 0.36207, -0.310219, 0; p3, 0, 0, 0
t0.486; p1, -0.361517, 0.310722, 0; p2, 0.361517, -0.310722, 0; p3, 0, 0, 0
t0.487; p1, -0.360963, 0.311224, 0; p2, 0.360963, -0.311224, 0; p3, 0, 0, 0
t0.488; p1, -0.360408, 0.311724, 0; p2, 0.360408, -0.311724, 0; p3, 0, 0, 0
t0.489; p1, -0.359852, 0.312224, 0; p2, 0.359852, -0.312224, 0; p3, 0, 0, 0
t0.49; p1, -0.359294, 0.312723, 0; p2, 0.359294, -0.312723, 0; p3, 0, 0, 0
t0.491; p1, -0.358736, 0.313222, 0; p2, 0.358736, -0.313222, 0; p3, 0, 0, 0
t0.492; p1, -0.358177, 0.313719, 0; p2, 0.358177, -0.313719, 0; p3, 0, 0, 0
t0.493; p1, -0.357617, 0.314215, 0; p2, 0.357617, -0.314215, 0; p3, 0, 0, 0
t0.494; p1, -0.357056, 0.314711, 0; p2, 0.357056, -0.314711, 0; p3, 0, 0, 0
t0.495; p1, -0.356494, 0.315206, 0; p2, 0.356494, -0.315206, 0; p3, 0, 0, 0
t0.496; p1, -0.35593, 0.315699, 0; p2, 0.35593, -0.315699, 0; p3, 0, 0, 0
t0.497; p1, -0.355366, 0.316192, 0; p2, 0.355366, -0.316192, 0; p3, 0, 0, 0
t0.498; p1, -0.354801, 0.316684, 0; p2, 0.354801, -0.316684, 0; p3, 0, 0, 0
t0.499; p1, -0.354235, 0.317176, 0; p2, 0.354235, -0.317176, 0; p3, 0, 0, 0
t0.5; p1, -0.353668, 0.317666, 0; p2, 0.353668, -0.317666, 0; p3, 0, 0, 0
t0.501; p1, -0.3531, 0.318155, 0; p2, 0.3531, -0.318155, 0; p3, 0, 0, 0
t0.502; p1, -0.352531, 0.318644, 0; p2, 0.352531, -0.318644, 0; p3, 0, 0, 0
t0.503; p1, -0.351961, 0.319131, 0; p2, 0.351961, -0.319131, 0; p3, 0, 0, 0
t0.504; p1, -0.35139, 0.319618, 0; p2, 0.35139, -0.319618, 0; p3, 0, 0, 0
t0.505; p1, -0.350818, 0.320104, 0; p2, 0.350818, -0.320104, 0; p3, 0, 0, 0
t0.506; p1, -0.350245, 0.320589, 0; p2, 0.350245, -0.320589, 0; p3, 0, 0, 0
t0.507; p1, -0.34967, 0.321073, 0; p2, 0.34967, -0.321073, 0; p3, 0, 0, 0
t0.508; p1, -0.349096, 0.321556, 0; p2, 0.349096, -0.321556, 0; p3, 0, 0, 0
t0.509; p1, -0.34852, 0.322038, 0; p2, 0.34852, -0.322038, 0; p3, 0, 0, 0
t0.51; p1, -0.347943, 0.32252, 0; p2, 0.347943, -0.32252, 0; p3, 0, 0, 0
t0.511; p1, -0.347365, 0.323, 0; p2, 0.347365, -0.323, 0; p3, 0, 0, 0
t0.512; p1, -0.346786, 0.32348, 0; p2, 0.346786, -0.32348, 0; p3, 0, 0, 0
t0.513; p1, -0.346206, 0.323958, 0; p2, 0.346206, -0.323958, 0; p3, 0, 0, 0
t0.514; p1, -0.345625, 0.324436, 0; p2, 0.345625, -0.324436, 0; p3, 0, 0, 0
t0.515; p1, -0.345043, 0.324913, 0; p2, 0.345043, -0.324913, 0; p3, 0, 0, 0
t0.516; p1, -0.34446, 0.325389, 0; p2, 0.34446, -0.325389, 0; p3, 0, 0, 0
t0.517; p1, -0.343877, 0.325864, 0; p2, 0.343877, -0.325864, 0; p3, 0, 0, 0
t0.518; p1, -0.343292, 0.326338, 0; p2, 0.343292, -0.326338, 0; p3, 0, 0, 0
