t0; p1, -0.5, 0, 0; p2, 0.5, 0, 0; p3, 0, 0, 0
t0.234; p1, -0.467183, 0.161826, 0; p2, 0.467183, -0.161826, 0; p3, 0, 0, 0
t0.235; p1, -0.466904, 0.162486, 0; p2, 0.466904, -0.162486, 0; p3, 0, 0, 0
t0.236; p1, -0.466624, 0.163146, 0; p2, 0.466624, -0.163146, 0; p3, 0, 0, 0
t0.237; p1, -0.466342, 0.163805, 0; p2, 0.466342, -0.163805, 0; p3, 0, 0, 0
t0.238; p1, -0.46606, 0.164464, 0; p2, 0.46606, -0.164464, 0; p3, 0, 0, 0
t0.239; p1, -0.465777, 0.165123, 0; p2, 0.465777, -0.165123, 0; p3, 0, 0, 0
t0.24; p1, -0.465492, 0.165781, 0; p2, 0.465492, -0.165781, 0; p3, 0, 0, 0
t0.241; p1, -0.465206, 0.166438, 0; p2, 0.465206, -0.166438, 0; p3, 0, 0, 0
t0.242; p1, -0.464919, 0.167096, 0; p2, 0.464919, -0.167096, 0; p3, 0, 0, 0
t0.243; p1, -0.464631, 0.167753, 0; p2, 0.464631, -0.167753, 0; p3, 0, 0, 0
t0.244; p1, -0.464341, 0.168409, 0; p2, 0.464341, -0.168409, 0; p3, 0, 0, 0
t0.245; p1, -0.464051, 0.169065, 0; p2, 0.464051, -0.169065, 0; p3, 0, 0, 0
t0.246; p1, -0.463759, 0.169721, 0; p2, 0.463759, -0.169721, 0; p3, 0, 0, 0
t0.247; p1, -0.463467, 0.170376, 0; p2, 0.463467, -0.170376, 0; p3, 0, 0, 0
t0.248; p1, -0.463173, 0.171031, 0; p2, 0.463173, -0.171031, 0; p3, 0, 0, 0
t0.249; p1, -0.462877, 0.171685, 0; p2, 0.462877, -0.171685, 0; p3, 0, 0, 0
t0.25; p1, -0.462581, 0.172339, 0; p2, 0.462581, -0.172339, 0; p3, 0, 0, 0
t0.251; p1, -0.462284, 0.172993, 0; p2, 0.462284, -0.172993, 0; p3, 0, 0, 0
t0.252; p1, -0.461985, 0.173646, 0; p2, 0.461985, -0.173646, 0; p3, 0, 0, 0
t0.253; p1, -0.461686, 0.174298, 0; p2, 0.461686, -0.174298, 0; p3, 0, 0, 0
t0.254; p1, -0.461385, 0.17495, 0; p2, 0.461385, -0.17495, 0; p3, 0, 0, 0
t0.255; p1, -0.461083, 0.175602, 0; p2, 0.461083, -0.175602, 0; p3, 0, 0, 0
